Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;87580800-1;READY MIX HORMIGONES LIMITADA;625;02/03/2020;02/03/2020 19:53:25;03/03/2020 13:46:27;;0;1075630;204370;1280000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78412749;;;;;
2;33;Del Giro;76096169-8;LEM SYSTEM SPA;626;06/03/2020;06/03/2020 11:40:40;;;0;84034;15966;100000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;78412749;;;;;
3;33;Del Giro;87580800-1;READY MIX HORMIGONES LIMITADA;627;07/03/2020;07/03/2020 12:31:12;07/03/2020 14:15:25;;0;1411765;268235;1680000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78412749;;;;;
4;33;Del Giro;76256859-4;COMERCIAL CORPORACION DEL EMBALAJE PARA CHILE LIMITADA;628;12/03/2020;12/03/2020 12:11:25;;;0;67227;12773;80000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;78412749;;;;;
5;33;Del Giro;76471738-4;COMPAÑIA TECNOLÓGICA GO BACK TECHNOLOGY LIMITADA;629;13/03/2020;13/03/2020 11:02:47;;;0;33614;6387;40001;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;78412749;;;;;
6;33;Del Giro;76096169-8;LEM SYSTEM SPA;630;19/03/2020;19/03/2020 13:32:03;;;0;252101;47899;300000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;78412749;;;;;
7;33;Del Giro;87580800-1;READY MIX HORMIGONES LIMITADA;631;19/03/2020;19/03/2020 18:11:53;19/03/2020 20:47:02;;0;1344538;255462;1600000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78412749;;;;;
8;33;Del Giro;76474153-6;MELIFEED SPA;632;19/03/2020;19/03/2020 18:40:38;;;0;504202;95798;600000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78412749;;;;;
9;33;Del Giro;96612160-2;AGRICOLA SANTA ELENA SPA;633;27/03/2020;27/03/2020 16:58:51;;;0;147059;27941;175000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;78412749;;;;;
10;33;Del Giro;76114258-5;CURIMAPU VEGETABLE SEEDS SPA;634;27/03/2020;27/03/2020 17:07:13;30/03/2020 09:39:23;;0;67227;12773;80000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78412749;;;;;
11;33;Del Giro;84156500-2;ALIMENTOS FRUNA LTDA;635;27/03/2020;27/03/2020 17:13:43;;;0;33614;6387;40001;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;78412749;;;;;
